"","OBJECTID","PA_area"
"760",1413,615613774.345856
"761",1414,615613774.34539
"762",1415,490838491.989559
"763",1416,282583.686609452
"764",1423,45801063.8552797
"765",1424,612816212.158942
"766",1425,614506503.398059
"767",1426,615286009.661107
"768",1427,615612424.608562
"769",1428,615613774.345551
"770",1429,615613774.345707
"771",1430,615613774.345551
"772",1431,615613774.34539
"773",1432,615613774.34539
"774",1433,615613774.345551
"775",1434,615613774.345551
"776",1435,610602025.540025
"777",1436,582646117.864987
"778",1437,428729425.127767
"779",1447,611408336.010723
"780",1448,153134407.723563
"781",1449,49334694.7147236
"782",1450,355896879.603966
"783",1451,597117362.533458
"784",1452,551615533.844955
"785",1453,94882603.6991829
"786",1468,232755718.42862
"787",1469,509095534.086555
"788",1470,564566960.237561
"789",1471,238152836.005621
"790",1472,52637139.5180772
"791",1475,1789804.12415736
"792",1476,504082123.481679
"793",1477,589963988.799566
"794",1478,506801517.205152
"795",1479,615964893.401065
"796",1480,616054908.842737
"797",1481,616060972.730679
"798",1482,615981105.419106
"799",1483,615981105.419266
"800",1484,901688378.440156
"801",1485,1189593768.93607
"802",1486,134940721.693715
"803",1487,49437647.5832518
"804",1490,3820466.43977904
"805",1491,25317392.873643
"806",1492,103073784.375869
"807",1493,29227945.6715066
"808",1494,213820903.826125
"809",1495,508773137.523661
"810",1496,614131179.057141
"811",1497,616521135.323938
"812",1498,443585774.797086
"813",1499,582659478.906109
"814",1500,557666208.947031
"815",1501,611935767.7874
"816",1502,611043413.406088
"817",1503,621263567.194042
"818",1504,621262970.975321
"819",1505,618647290.059429
"820",1506,617575011.929821
"821",1507,614354082.45074
"822",1508,621420487.257147
"823",1509,746076759.528003
"824",1510,794889600.530659
"825",1511,791424499.944097
"826",1512,1091414607.89667
"827",1513,1231962210.83821
"828",1514,1047932531.17474
"829",1515,635542191.92665
"830",1516,616004428.305474
"831",1517,616000801.700007
"832",1518,615981105.419106
"833",1519,615981105.419106
"834",1520,398983.983272337
"835",1527,151877577.742277
"836",1528,544490754.720484
"837",1529,581758374.194859
"838",1530,615959575.790709
"839",1531,615962184.732439
"840",1532,615981105.419266
"841",1533,615981105.419415
"842",1534,615981105.419266
"843",1535,615981105.419106
"844",1536,615981105.419106
"845",1537,615981105.419266
"846",1538,615981105.419266
"847",1539,544687432.654561
"848",1540,614632795.450224
"849",1541,368107459.112226
"850",1553,613608337.207271
"851",1554,616339169.781895
"852",1555,93873191.5318261
"853",1556,108369784.831325
"854",1557,547927879.986515
"855",1558,597945012.780338
"856",1559,893922379.622657
"857",1560,449543396.8945
"858",1561,197417034.875958
"859",1562,17171519.0789538
"860",1574,33396455.410243
"861",1575,383074.163183412
"862",1576,429282036.709845
"863",1577,616119231.761995
"864",1578,602008234.637068
"865",1579,39066418.0510422
"866",1580,139061907.191879
"867",1581,278854591.477426
"868",1582,317993371.993014
"869",1583,589324129.798825
"870",1584,616339169.781738
"871",1585,616339169.781895
"872",1586,616333730.85284
"873",1587,616359981.96157
"874",1588,616337273.621131
"875",1589,616404764.1292
"876",1590,616391880.443437
"877",1591,904779615.063551
"878",1592,1232678339.56348
"879",1593,641638864.109137
"880",1594,113127359.407185
"881",1595,328977531.010585
"882",1596,137546203.394641
"883",1597,290289209.139875
"884",1598,399605310.545717
"885",1599,561873571.049659
"886",1600,51388118.3690016
"887",1601,431493984.748319
"888",1602,608994518.217347
"889",1603,616339169.781738
"890",1604,616641549.934574
"891",1605,615872698.726754
"892",1606,590453899.305327
"893",1607,488288408.62362
"894",1608,599742378.298644
"895",1609,616374459.786546
"896",1610,611513205.126311
"897",1611,616326447.260746
"898",1612,616354926.346184
"899",1613,616338847.250733
"900",1614,616339483.345839
"901",1615,616327437.729104
"902",1616,615017847.983455
"903",1617,615940171.950083
"904",1618,616339169.781582
"905",1619,1058309158.30665
"906",1620,1232678339.56316
"907",1621,1090229274.41473
"908",1622,616339169.781738
"909",1623,616327680.752051
"910",1624,616321029.965593
"911",1625,616349251.09582
"912",1626,616339169.781582
"913",1627,415110.292862005
"914",1631,28137542.7709064
"915",1632,357781774.975645
"916",1633,93787004.4318809
"917",1635,999728.813976019
"918",1636,428834567.426022
"919",1637,616339169.781582
"920",1638,616339169.781738
"921",1639,616339169.781738
"922",1640,616339169.781895
"923",1641,616339169.781738
"924",1642,616339169.781582
"925",1643,616339169.781582
"926",1644,606601039.61534
"927",1645,557647247.348676
"928",1646,585380124.518663
"929",1647,613908458.1952
"930",1648,605943827.536434
"931",1649,132394607.48352
"932",1661,515623327.001172
"933",1662,475702960.544259
"934",1663,537873829.622346
"935",1664,42683397.9566699
"936",1665,202179763.911956
"937",1666,351597736.817841
"938",1667,616687963.219555
"939",1668,543075041.175626
"940",1669,847635126.908151
"941",1670,286686936.313452
"942",1671,92928099.8057433
"943",1673,121032785.577098
"944",1682,61748936.9614471
"945",1683,532116716.090617
"946",1684,462873454.97174
"947",1685,601556714.526903
"948",1686,638866153.967032
"949",1687,668826622.97231
"950",1688,179418401.895998
"951",1689,514438287.646585
"952",1690,616998333.379995
"953",1691,618720821.24031
"954",1692,616687963.219715
"955",1693,616687963.219715
"956",1694,616687963.219872
"957",1695,615918945.845125
"958",1696,616665985.421854
"959",1697,616687963.219715
"960",1698,616687963.219555
"961",1699,615965864.017913
"962",1700,916692497.008376
"963",1701,1233375926.43943
"964",1702,1126638948.77211
"965",1703,11738083.7654243
"966",1704,535553755.225569
"967",1705,580792886.97236
"968",1706,331950675.288005
"969",1707,423857411.970541
"970",1708,70483302.3390586
"971",1709,469404825.784897
"972",1710,621355807.967046
"973",1711,608711220.873684
"974",1712,616687963.219715
"975",1713,616994826.884086
"976",1714,477270452.826254
"977",1715,517327533.096298
"978",1716,543956654.11753
"979",1717,616687963.219715
"980",1718,616448358.747733
"981",1719,160616840.401212
"982",1720,359849608.196711
"983",1721,589664388.586936
"984",1722,616669840.217354
"985",1723,616668512.291072
"986",1724,616015810.123961
"987",1725,615946126.543264
"988",1726,616687963.220028
"989",1727,616687963.219555
"990",1728,864244964.800412
"991",1729,1233375926.43911
"992",1730,976737902.707289
"993",1731,596697367.441661
"994",1732,616678584.726983
"995",1733,616687963.220028
"996",1734,616679544.722841
"997",1735,616689420.064392
"998",1736,432241.848213714
"999",1739,155246514.34478
"1000",1740,534043958.86007
"1001",1741,554653354.733708
"1002",1742,14465.8102196828
"1003",1744,45044503.9932353
"1004",1745,616132698.062342
"1005",1746,616687963.219555
"1006",1747,616687963.219715
"1007",1748,616687963.219715
"1008",1749,616687963.219872
"1009",1750,616687963.219715
"1010",1751,616687963.219555
