"","OBJECTID","dist_rod","rod","dist_hid","hid","dist_hidro_rod","hid_rod"
"107",107,15980.6368864855,"rod",55151.6336706495,"hid",15980.6368864854,"hid_rod"
"108",108,1230.71149848904,"rod",74310.676972559,"hid",1230.71149848904,"hid_rod"
"109",109,35138.1675722044,"rod",52347.0897608751,"hid",35138.1675722044,"hid_rod"
"110",110,11099.2079339742,"rod",47714.9577525827,"hid",11099.2079339742,"hid_rod"
"111",111,8119.81354785876,"rod",55018.759397226,"hid",8119.81354785876,"hid_rod"
"112",112,26766.2442988844,"rod",70781.2010153698,"hid",26766.2442988844,"hid_rod"
"113",113,47987.6855088705,"rod",89450.5816303802,"hid",47987.6855088698,"hid_rod"
"114",114,243033.068326575,"rod",364350.098393755,"hid",243033.068326575,"hid_rod"
"115",115,229144.497258602,"rod",347615.411396314,"hid",229144.497258602,"hid_rod"
"116",116,215454.138457491,"rod",324251.628791755,"hid",215454.138457491,"hid_rod"
"117",117,203606.203153546,"rod",301153.775060289,"hid",203606.203153546,"hid_rod"
"118",118,193294.828863979,"rod",278388.051264899,"hid",193294.828863978,"hid_rod"
"119",119,179438.782784264,"rod",255949.58897768,"hid",179438.782784264,"hid_rod"
"120",120,167789.306062469,"rod",233827.60367492,"hid",167789.306062469,"hid_rod"
"121",121,156720.870300074,"rod",212467.088099259,"hid",156720.870300074,"hid_rod"
"122",122,147967.612101493,"rod",188843.696740748,"hid",147967.612101493,"hid_rod"
"123",123,141366.107761222,"rod",165629.012533843,"hid",141366.107761222,"hid_rod"
"124",124,120019.841929647,"rod",143022.193477417,"hid",120019.841929647,"hid_rod"
"125",125,95971.6286818437,"rod",120807.018735861,"hid",95971.6286818437,"hid_rod"
"126",126,72565.980259311,"rod",99604.7207419434,"hid",72565.9802593103,"hid_rod"
"127",127,49156.2745165551,"rod",78958.7761294685,"hid",49156.2745165553,"hid_rod"
"128",128,24506.9896333562,"rod",58481.8065358291,"hid",24506.9896333509,"hid_rod"
"129",129,251.497126446517,"rod",41140.3022827739,"hid",251.49712644687,"hid_rod"
"130",130,24941.2318438788,"rod",20515.5032053179,"hid",24941.2318438788,"hid_rod"
"131",131,8412.40904275581,"rod",20002.4585826746,"hid",8412.40904275581,"hid_rod"
"132",132,4003.07015943649,"rod",40375.2635360515,"hid",4003.07015943649,"hid_rod"
"133",133,13044.8472488137,"rod",64117.676853728,"hid",13044.8472488137,"hid_rod"
"134",134,66553.7376489501,"rod",86263.3917706668,"hid",66553.7376489499,"hid_rod"
"135",135,44129.2260511234,"rod",75683.0470743488,"hid",44129.2260511234,"hid_rod"
"136",136,26658.5675052538,"rod",72555.5895607513,"hid",26658.5675052538,"hid_rod"
"137",137,6826.10867425947,"rod",77631.4682955308,"hid",6826.10867425947,"hid_rod"
"138",138,14060.5507690129,"rod",89498.7577246692,"hid",14060.5507690129,"hid_rod"
"139",139,36847.4804076452,"rod",106034.175823918,"hid",36847.4804076452,"hid_rod"
"140",140,208454.514256771,"rod",338634.390719778,"hid",208454.514256771,"hid_rod"
"141",141,194566.616450969,"rod",315913.829332008,"hid",194566.616450969,"hid_rod"
"142",142,181409.377357848,"rod",292152.927249608,"hid",181409.377357848,"hid_rod"
"143",143,170868.519071794,"rod",268620.89468763,"hid",170868.519071794,"hid_rod"
"144",144,158476.76960028,"rod",245383.586335672,"hid",158476.769600279,"hid_rod"
"145",145,145607.98792995,"rod",222533.348953862,"hid",145607.98792995,"hid_rod"
"146",146,134251.138950059,"rod",200085.799481664,"hid",134251.138950059,"hid_rod"
"147",147,124244.11303145,"rod",178041.290475608,"hid",124244.11303145,"hid_rod"
"148",148,117197.231008233,"rod",156861.651251387,"hid",117197.231008233,"hid_rod"
"149",149,112166.922436036,"rod",133423.781154562,"hid",112166.922436036,"hid_rod"
"150",150,99883.6306135646,"rod",109884.04393324,"hid",99883.6306135646,"hid_rod"
"151",151,76300.3939644404,"rod",87170.5137382864,"hid",76300.3939644404,"hid_rod"
"152",152,53641.6976238898,"rod",65025.4163170125,"hid",53641.6976238875,"hid_rod"
"153",153,29724.4765270192,"rod",44989.7619823421,"hid",29724.4765270173,"hid_rod"
"154",154,7466.47977191497,"rod",23356.3052581645,"hid",7466.47977191497,"hid_rod"
"155",155,10137.9348843845,"rod",7554.60705083394,"hid",10137.9348843845,"hid_rod"
"156",156,7702.90777474566,"rod",13815.7672622668,"hid",7702.90777474566,"hid_rod"
"157",157,24946.4023077302,"rod",38163.3202124383,"hid",24946.4023077302,"hid_rod"
"158",158,78953.3519298655,"rod",108015.153843398,"hid",78953.351929866,"hid_rod"
"159",159,61205.8390730937,"rod",99766.9152399211,"hid",61205.8390730937,"hid_rod"
"160",160,41164.4496928856,"rod",97415.207461332,"hid",41164.4496928856,"hid_rod"
"161",161,18460.3380004435,"rod",101311.554424051,"hid",18460.3380004435,"hid_rod"
"162",162,2515.92182331196,"rod",110670.058359409,"hid",2515.92182331196,"hid_rod"
"163",163,27019.2754101729,"rod",124425.925478178,"hid",27019.2754101729,"hid_rod"
"164",164,187763.6259675,"rod",328794.83360992,"hid",187763.6259675,"hid_rod"
"165",165,173874.41360451,"rod",305626.766220044,"hid",173874.41360451,"hid_rod"
"166",166,160003.161709444,"rod",282775.618592129,"hid",160003.161709444,"hid_rod"
"167",167,147942.879339683,"rod",260324.861720485,"hid",147942.879339683,"hid_rod"
"168",168,138365.707125963,"rod",236865.935943626,"hid",138365.707125963,"hid_rod"
"169",169,123916.887723218,"rod",213099.919992038,"hid",123916.887723218,"hid_rod"
"170",170,112101.279340956,"rod",189657.503449412,"hid",112101.279340956,"hid_rod"
"171",171,101077.246388499,"rod",166675.283137143,"hid",101077.246388499,"hid_rod"
"172",172,93247.2165980494,"rod",144213.481639377,"hid",93247.2165980494,"hid_rod"
"173",173,87703.5105104977,"rod",122319.479509812,"hid",87703.5105104973,"hid_rod"
