"","OBJECTID","PA_area","dist_rod","dist_hid","dist_hidro_rod"
"1264",2087,620669723.085061,245669.885606665,146695.979813593,146695.979813596
"1265",2088,606533913.191585,234422.631139977,134179.470793236,134179.470793243
"1266",2089,617678677.527924,225405.818232161,113196.89395822,113196.893958228
"1267",2090,617678677.527756,218895.252221607,94204.7781705465,94204.7781705549
"1268",2091,617678677.527924,212480.537683756,78658.380406197,78658.3804062051
"1269",2092,617678677.528069,187516.766737677,68929.9545309845,68929.9545309919
"1270",2093,617678677.527924,162571.228284157,52466.6442705704,52466.6442705711
"1271",2094,617678677.527756,137653.809551971,29021.3522489416,29021.3522489427
"1272",2095,617678677.527924,112782.945189867,4117.02448523682,4117.02448523841
"1273",2096,366914991.298193,87981.5391712026,18790.2051887201,18790.2051887184
"1274",2108,316837080.759875,177334.512974093,10191.4943727778,10191.4943727736
"1275",2109,580309411.372188,158517.561513124,13593.083106676,13593.0831066703
"1276",2110,464628329.457798,141062.748719306,4129.32041087197,4129.3204108658
"1277",2111,62449886.4237136,126184.66667978,7734.58719808557,7734.58719808777
"1278",2112,132786820.447178,114552.58225681,10252.9586773759,10252.9586773736
"1279",2117,97694652.9427842,100956.205599141,31382.6994528889,31382.6994528832
"1280",2118,617990347.363083,85706.8566440792,41762.8119917921,41762.8119917884
"1281",2119,79211901.2571219,75841.5720353826,51790.7291567906,51790.7291567952
"1282",2120,244261470.81581,65397.2533545815,39121.2691000408,39121.2691000465
"1283",2121,612973462.754033,44148.4474276495,17895.371420477,17895.3714204761
"1284",2122,617654853.44057,27253.5840323555,5393.27785991973,5393.27785992282
"1285",2123,597104215.711119,2779.5443921169,4809.76216130305,2779.54439211743
"1286",2124,291337567.705227,19634.6653105811,134.659794157945,134.659794151682
"1287",2125,66962866.5699009,30271.9256983633,5400.53758356079,5400.53758356683
"1288",2126,204292083.259703,50545.5701249195,13047.9259699901,13047.9259699936
"1289",2136,34649614.0393167,70246.876755659,20870.3502157702,20870.3502157701
"1290",2137,429414936.703032,72028.3736383517,25911.6852533569,25911.6852533616
"1291",2138,616494816.067497,77671.8865093726,20997.640949334,20997.6409493399
"1292",2139,599768385.127784,89322.2856476282,38245.9624069194,38245.9624069226
"1293",2140,355309694.033306,105244.309821926,61130.7905297552,61130.7905297574
"1294",2141,431632883.509266,102340.910930561,60693.9044295158,60693.9044295168
"1295",2142,595649400.855744,77399.7791569269,67620.8156287596,67620.8156287652
"1296",2143,618693414.269656,52534.429067321,67422.8842981083,52534.429067321
"1297",2144,618077939.083115,27944.5162436322,44737.1106898768,27944.5162436322
"1298",2145,618065669.671809,4208.48761908433,25404.1956256004,4208.48761908433
"1299",2146,608382594.796545,20137.8925931982,12916.0046906236,12916.0046906269
"1300",2147,355628056.335164,28049.3341948128,11901.0403797291,11901.0403797256
"1301",2148,304617137.322419,47287.430085257,12888.2947094898,12888.2947094881
"1302",2149,67542570.6637269,69372.9534611941,8114.22075262561,8114.2207526182
"1303",2150,202043705.104174,92831.7790324866,33090.3667737553,33090.3667737471
"1304",2151,546682069.932968,99858.7419442802,58106.1092117008,58106.1092116945
"1305",2152,588120996.742632,75102.8141108006,44024.7120536416,44024.7120536493
"1306",2153,245499547.544499,50608.168108965,20453.6761607742,20453.6761607828
"1307",2154,324687587.534546,26683.609824801,558.756384629789,558.756384624319
"1308",2155,226948087.251264,5066.33799852975,20980.5678211132,5066.33799853116
"1309",2157,293566192.014044,44652.6054743109,70123.3464875078,44652.6054743112
"1310",2158,586133007.25688,69231.6168296564,95040.0139343423,69231.6168296564
"1311",2159,616967296.96794,75163.8705545373,79566.2375302058,75163.8705545372
"1312",2160,617993883.095553,67661.1837436485,67872.3344900849,67661.1837436494
"1313",2161,617990347.363083,43532.8807388094,64305.7284655765,43532.8807388102
"1314",2162,617975947.371928,19204.2496160436,70117.7933063316,19204.2496160434
"1315",2163,508907337.590251,4753.62224000024,72807.0277954543,4753.62224000024
"1316",2164,552709282.227587,28914.8726276461,51958.2754027074,28914.8726276461
"1317",2165,617336759.276378,53075.0948949796,27133.1772351786,53075.0948949804
"1318",2166,474242253.836337,32179.393854712,3533.93428460315,32179.393854712
"1319",2167,75601941.9703456,7172.81457231326,8416.81120601841,7172.81457231326
"1320",2168,58820844.2114376,5320.82089926039,11802.6844294219,5320.82089926039
"1321",2170,50190508.657831,31852.1017550034,28748.3256867659,31852.1017550034
"1322",2171,266354002.930341,29580.2855278718,53740.0926940397,29580.2855278718
"1323",2172,580780848.818527,82794.7238034047,13829.0628601709,22456.5104157236
"1324",2173,617421427.059093,63924.8406877509,20975.6584489967,20975.6584489949
"1325",2174,617659943.164133,45011.8245265407,29814.0563233612,29814.0563233592
